País,Código ISO3,AAPC 2000–2021 (%),Tasa de mortalidad por suicidio en 2021 (por 100.000),Suicidios estimados en 2021,Suicidios estimados de hombres en 2021,Suicidios estimados de mujeres en 2021,Posición de self-harm entre las causas de muerte,Región,Categoría de crecimiento
Argentina,ARG,0.4,8.63,914.52,657.47,256.74,2,América del Sur,sin cambios significativos
Bahamas,BHS,-0.14,1.91,1.64,1.42,0.24,7,Caribe,sin cambios significativos
Barbados,BRB,-2.36,1.65,0.91,0.58,0.34,6,Caribe,decrecimiento significativo
Belize,BLZ,-4.7,1.71,1.96,1.89,0.08,6,México y Centroamérica,decrecimiento significativo
"Bolivia, Plurinational State of",BOL,-5.96,1.9,65.74,30.95,34.79,5,América del Sur,decrecimiento significativo
Brazil,BRA,2.15,5.34,2494.91,1730.03,763.69,4,América del Sur,crecimiento significativo
Chile,CHL,-1.11,5.61,217.53,155.79,61.83,2,América del Sur,sin cambios significativos
Colombia,COL,-1.28,5.42,673.03,462.81,210.35,3,América del Sur,decrecimiento significativo
Costa Rica,CRI,0.31,6.22,69.69,52.96,16.69,3,México y Centroamérica,sin cambios significativos
Cuba,CUB,-3.17,3.44,66.31,51.36,14.79,3,Caribe,sin cambios significativos
Dominica,DMA,-0.46,1.98,0.27,0.23,0.05,9,Caribe,sin cambios significativos
Dominican Republic,DOM,-1,2.41,71.27,55.51,15.67,4,Caribe,sin cambios significativos
Ecuador,ECU,1.74,9.17,436.25,323.77,112.58,2,América del Sur,sin cambios significativos
El Salvador,SLV,-1.57,6.11,110.17,71.72,38.38,3,México y Centroamérica,sin cambios significativos
Guatemala,GTM,-3.05,5.82,325.42,202.86,122.53,4,México y Centroamérica,decrecimiento significativo
Guyana,GUY,-0.89,21.8,49.54,33.32,16.19,1,América del Sur,sin cambios significativos
Haiti,HTI,-1.48,4.45,152.54,59.65,92.88,8,Caribe,decrecimiento significativo
Honduras,HND,-2.21,1.97,62.22,47.72,14.49,6,México y Centroamérica,sin cambios significativos
Jamaica,JAM,3.47,0.7,4.93,4.13,0.79,,Caribe,sin cambios significativos
Mexico,MEX,2.88,7.73,2576.75,1851.33,731.8,3,México y Centroamérica,crecimiento significativo
Nicaragua,NIC,-3.22,4.43,84.85,51.78,33.13,3,México y Centroamérica,decrecimiento significativo
Panama,PAN,-3.73,3.67,39.59,26.92,12.7,4,México y Centroamérica,decrecimiento significativo
Paraguay,PRY,3.83,8.93,159.79,86.28,73.51,2,América del Sur,crecimiento significativo
Peru,PER,1.45,1.51,127.75,69.42,58.36,7,América del Sur,sin cambios significativos
Saint Kitts and Nevis,KNA,-1.42,0.95,0.09,0.07,0.02,,Caribe,decrecimiento significativo
Saint Lucia,LCA,0.17,3.44,1.38,1.25,0.14,5,Caribe,sin cambios significativos
Suriname,SUR,1.91,20.92,34.49,24.95,9.65,1,América del Sur,sin cambios significativos
Trinidad and Tobago,TTO,-2.3,6.46,18.29,13.28,5,4,Caribe,sin cambios significativos
Uruguay,URY,3.69,16.09,116.29,95.71,20.68,1,América del Sur,crecimiento significativo
"Venezuela, Bolivarian Republic of",VEN,2.23,11.32,848.62,760.52,86.63,3,América del Sur,sin cambios significativos
